osm_id,name,category,city,phone,alasan
11222342504,GraPARI,telecommunication,Jakarta,,pola kantor cabang/gerai (bukan pengambil keputusan)
1020998129,GraPARI Citraland,telecommunication,Semarang,,pola kantor cabang/gerai (bukan pengambil keputusan)
194213298,GraPARI Telkomsel,telecommunication,Surabaya,,pola kantor cabang/gerai (bukan pengambil keputusan)
5408980221,Graha ADIRA,company,,,nama cocok pola noise (gedung/pemerintah/service center)
503672133,Graha Dirgantara,company,,,nama cocok pola noise (gedung/pemerintah/service center)
5317880322,Graha EMS,company,,,nama cocok pola noise (gedung/pemerintah/service center)
1272860284,Graha FamilyMart,company,,+62 21 5790 4567,nama cocok pola noise (gedung/pemerintah/service center)
6700115086,Graha Kenzo,company,,,nama cocok pola noise (gedung/pemerintah/service center)
120827503,Graha Mandiri,company,,,nama cocok pola noise (gedung/pemerintah/service center)
5777976754,Graha Mentari,company,,,nama cocok pola noise (gedung/pemerintah/service center)
13258199002,Graha Petro Kimia Gresik,company,,,nama cocok pola noise (gedung/pemerintah/service center)
8304846985,Graha WPN,company,,,nama cocok pola noise (gedung/pemerintah/service center)
120004037,Grand Cimanggis Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
157361852,Grand ITC Permata Hijau,mall,,+62 21 53663888; +62 21 53663497,"kategori mall (properti, bukan perusahaan)"
974882100,Grand Indonesia Shopping Town,mall,,,"kategori mall (properti, bukan perusahaan)"
1115929347,Grand Paragon,mall,,,"kategori mall (properti, bukan perusahaan)"
4148241807,Grand Paragon,mall,,,"kategori mall (properti, bukan perusahaan)"
377400062,Grapari,telecommunication,Bandung,,pola kantor cabang/gerai (bukan pengambil keputusan)
6795217469,Grapari Kuta,telecommunication,Denpasar,,pola kantor cabang/gerai (bukan pengambil keputusan)
13148918701,Grapari Telkomsel,telecommunication,Surabaya,,pola kantor cabang/gerai (bukan pengambil keputusan)
6380674088,Green Lake City Ruko Wallstreet,company,,,nama cocok pola noise (gedung/pemerintah/service center)
1075721000,Green Pramuka Square,mall,,,"kategori mall (properti, bukan perusahaan)"
851723121,Green Sedayu Biz Park,industrial,Jakarta,,duplikat entitas (nama/telepon sama)
1081176789,Green Sedayu Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
718980841,Gudang Depdiknas,industrial,Jakarta,,duplikat entitas (nama/telepon sama)
1201028114,Gudang Depdiknas,warehouse,Jakarta,,duplikat entitas (nama/telepon sama)
495425486,Gudang Garam,company,,,duplikat entitas (nama/telepon sama)
701947629,Gudang Garam,industrial,Sidoarjo,,duplikat entitas (nama/telepon sama)
541298328,Gudang Helm,warehouse,Tangerang,,duplikat entitas (nama/telepon sama)
541298329,Gudang Helm,warehouse,Tangerang,,duplikat entitas (nama/telepon sama)
541298331,Gudang Helm,warehouse,Tangerang,,duplikat entitas (nama/telepon sama)
1333503978,Gudang Keramik,warehouse,Semarang,,duplikat entitas (nama/telepon sama)
487947865,Gudang Pura,warehouse,Kudus,,duplikat entitas (nama/telepon sama)
340579777,Gudang Toko Rajawali,warehouse,Semarang,,duplikat entitas (nama/telepon sama)
357087588,HM Sampoerna,industrial,Karawang,,duplikat entitas (nama/telepon sama)
619202529,HM Sampoerna,industrial,Surabaya,,duplikat entitas (nama/telepon sama)
442212867,Harco Mangga Dua,mall,,,"kategori mall (properti, bukan perusahaan)"
155110696,Harco Pasar Baru,mall,,+62 21 3804151,"kategori mall (properti, bukan perusahaan)"
481725779,Holland Village,mall,,,"kategori mall (properti, bukan perusahaan)"
9132842546,Holywings Group,company,Tangerang,,duplikat entitas (nama/telepon sama)
622781306,Honda Prospect Motor,industrial,Karawang,,duplikat entitas (nama/telepon sama)
933071052,Honda Prospect Motor,industrial,Karawang,,duplikat entitas (nama/telepon sama)
933086157,Honda Prospect Motor,industrial,Karawang,,duplikat entitas (nama/telepon sama)
650633752,Hotel Sibayak Internasional Sales Office,company,Medan,,pola kantor cabang/gerai (bukan pengambil keputusan)
1098147938,Hublife,mall,,,"kategori mall (properti, bukan perusahaan)"
4150307223,Hypermart Kelapa Gading Trade Center,mall,,,"kategori mall (properti, bukan perusahaan)"
99491651,ITC Cempaka Mas,mall,,,"kategori mall (properti, bukan perusahaan)"
4150440330,ITC Cempaka Mas Main Entrance,mall,,,"kategori mall (properti, bukan perusahaan)"
4254005153,ITC Cempaka Mas Side Entrance,mall,,,"kategori mall (properti, bukan perusahaan)"
524555664,ITC Cipulir,mall,,,"kategori mall (properti, bukan perusahaan)"
391479713,ITC Fatmawati,mall,,+62 21 72790888; +62 21 72796020,"kategori mall (properti, bukan perusahaan)"
121158386,ITC Kuningan,mall,,+62 21 57933888,"kategori mall (properti, bukan perusahaan)"
121551455,ITC Mangga Dua,mall,,+62 21 6017771; +62 21 6017036,"kategori mall (properti, bukan perusahaan)"
121716529,ITC Roxy Mas,mall,,+62 21 6305001; +62 21 6305002,"kategori mall (properti, bukan perusahaan)"
6183158390,Indosat Ooredoo,telecommunication,Jakarta,,duplikat entitas (nama/telepon sama)
6239516688,Indosat Ooredoo,telecommunication,Jakarta,,duplikat entitas (nama/telepon sama)
1158487943,Instalasi Pengolahan Lumpur Tinja Duri Kosambi,industrial,Jakarta,,duplikat entitas (nama/telepon sama)
1427562565,International Chemical Industry,industrial,Jakarta,,duplikat entitas (nama/telepon sama)
10739467201,JNE,logistics,Jakarta,,duplikat entitas (nama/telepon sama)
13529334492,JNE,logistics,Bekasi,,duplikat entitas (nama/telepon sama)
1370426941,JNE Cabang Bandung,industrial,Bandung,,pola kantor cabang/gerai (bukan pengambil keputusan)
3786009232,JNE Express,company,Denpasar,,duplikat entitas (nama/telepon sama)
7483359285,JNE Warehouse,company,Sidoarjo,,duplikat entitas (nama/telepon sama)
120908549,Jakarta Design Center,mall,,+62 21 5495130; +62 21 5495116,"kategori mall (properti, bukan perusahaan)"
6471389611,Jakarta International Customer Service Institute,company,,+62215668061,nama cocok pola noise (gedung/pemerintah/service center)
139858797,Jamkrindo,financial,Denpasar,,duplikat entitas (nama/telepon sama)
13326343055,Jasa Marga,company,,,duplikat entitas (nama/telepon sama)
559638641,Jasa Raharja,company,Semarang,,duplikat entitas (nama/telepon sama)
185056504,Jiwasraya,insurance,Surabaya,,duplikat entitas (nama/telepon sama)
421572119,Jiwasraya,insurance,Bandung,,duplikat entitas (nama/telepon sama)
6251576916,Jiwasraya,insurance,Jakarta,,duplikat entitas (nama/telepon sama)
6794723485,Jne,company,Bandung,,duplikat entitas (nama/telepon sama)
1156109444,K Mall at Menara Jakarta,mall,,+622150918889,"kategori mall (properti, bukan perusahaan)"
154839201,KOJA TRADE MALL,mall,,,"kategori mall (properti, bukan perusahaan)"
6274386106,KPU,company,,,nama cocok pola noise (gedung/pemerintah/service center)
455241403,Kalibata City Square,mall,,+62 21 7975111; +62 21 7994880,"kategori mall (properti, bukan perusahaan)"
292602206,Kantor,works,Medan,,duplikat entitas (nama/telepon sama)
3933631160,Kantor,works,Semarang,,duplikat entitas (nama/telepon sama)
4409596783,Kantor Cabang Indovision Denpasar,works,Denpasar,+62 815-7848-7046,pola kantor cabang/gerai (bukan pengambil keputusan)
1320914940,Kantor MAXIM Cabang Karawang,company,Karawang,,pola kantor cabang/gerai (bukan pengambil keputusan)
5068211209,Kelapa Gading Mall 3,mall,,,"kategori mall (properti, bukan perusahaan)"
121919510,Kelapa Gading Trade Center,mall,,,"kategori mall (properti, bukan perusahaan)"
1205943167,Kereta Cepat Indonesia–China,industrial,Bekasi,,duplikat entitas (nama/telepon sama)
29392414,Kimia Farma,industrial,Bandung,,duplikat entitas (nama/telepon sama)
121551457,Kimia Farma,company,,,duplikat entitas (nama/telepon sama)
462153228,Kimia Farma,warehouse,Denpasar,,duplikat entitas (nama/telepon sama)
1385692287,Kimia Farma Trading & Distribusi Cabang Makassar,industrial,Makassar,,pola kantor cabang/gerai (bukan pengambil keputusan)
176433009,Kota Kasablanka,mall,,+62 21 83709888; +62 21 83706888,"kategori mall (properti, bukan perusahaan)"
228763259,Kuningan City,mall,,+62 21 57905555; +62 21 57950906,"kategori mall (properti, bukan perusahaan)"
6185591491,LG Customer Service,company,,14010,nama cocok pola noise (gedung/pemerintah/service center)
341901960,La Piazza,mall,,+62 21 4531101; +62 21 45864949,"kategori mall (properti, bukan perusahaan)"
4152690689,La Piazza,mall,,,"kategori mall (properti, bukan perusahaan)"
121986296,Lindeteves Trade Center,mall,,+62 21 62317000; +62 21 62317001,"kategori mall (properti, bukan perusahaan)"
173954403,Lippo Mall Cimanggis Square,mall,,,"kategori mall (properti, bukan perusahaan)"
1219363049,Lippo Mall Kemang,mall,,,"kategori mall (properti, bukan perusahaan)"
625889356,Lippo Mall Puri (Skybridge Area),mall,,,"kategori mall (properti, bukan perusahaan)"
625889357,Lippo Mall Puri 1,mall,,,"kategori mall (properti, bukan perusahaan)"
4254017186,Lippo Mall Puri 1 Side Entrance,mall,,,"kategori mall (properti, bukan perusahaan)"
625889355,Lippo Mall Puri 2,mall,,,"kategori mall (properti, bukan perusahaan)"
4160664209,Lippo Mall Puri 2 Alternative Entrance/ Exit,mall,,,"kategori mall (properti, bukan perusahaan)"
119451364,Lippo Plaza Kramatjati,mall,,+62 21 8095558,"kategori mall (properti, bukan perusahaan)"
714481107,Living Plaza Bintaro,mall,,,"kategori mall (properti, bukan perusahaan)"
754594651,Living World Kota Wisata,mall,,,"kategori mall (properti, bukan perusahaan)"
155253938,Lokasari Square,mall,,,"kategori mall (properti, bukan perusahaan)"
355474631,Lotte Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
512873522,Lotte Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
510172679,Lotte Mart,mall,,,"kategori mall (properti, bukan perusahaan)"
4242290016,Lotte Mart Ratu Plaza (Main Entrance),mall,,,"kategori mall (properti, bukan perusahaan)"
4150281840,M.T. Haryono Square,mall,,,"kategori mall (properti, bukan perusahaan)"
6357841697,MI Authorized Service Center,company,,,nama cocok pola noise (gedung/pemerintah/service center)
489479250,MTen,mall,,,"kategori mall (properti, bukan perusahaan)"
391490309,Mahaka Square,mall,,+62 21 28507788; +62 21 28507505,"kategori mall (properti, bukan perusahaan)"
4240747870,Mahaka Square,mall,,,"kategori mall (properti, bukan perusahaan)"
156922051,Mal Ciputra Jakarta (Citraland),mall,,+62 21 5662121; +62 21 5662255,"kategori mall (properti, bukan perusahaan)"
155116043,Mal Mangga Dua,mall,,+62 21 6126000; +62 21 6126010,"kategori mall (properti, bukan perusahaan)"
121158396,Mall Ambasador,mall,,+62 21 5766688; +62 21 5762828,"kategori mall (properti, bukan perusahaan)"
4152518407,Mall Artha Gading,mall,,,"kategori mall (properti, bukan perusahaan)"
99362082,Mall Artha Gading 3,mall,,,"kategori mall (properti, bukan perusahaan)"
4146989506,Mall Cinere,mall,,,"kategori mall (properti, bukan perusahaan)"
4152512520,Mall Daan Mogot,mall,,,"kategori mall (properti, bukan perusahaan)"
121551453,Mall Golden Truly,mall,,+62 21 4216989;+62 21 4212951,"kategori mall (properti, bukan perusahaan)"
119425546,Mall Graha Cijantung,mall,,+62 21 87798888;+62 21 87793448,"kategori mall (properti, bukan perusahaan)"
341776242,Mall Grand Dadap City,mall,,,"kategori mall (properti, bukan perusahaan)"
4242316417,Mall Kelapa Gading 1 Main Entrance,mall,,,"kategori mall (properti, bukan perusahaan)"
4242315906,Mall Kelapa Gading 2 Main Entrance,mall,,,"kategori mall (properti, bukan perusahaan)"
330323332,Mall Matahari Daan Mogot,mall,,+62 21 5401050; +62 21 5401051,"kategori mall (properti, bukan perusahaan)"
156924651,Mall Taman Anggrek,mall,,+62 21 5643777; +62 21 5634111,"kategori mall (properti, bukan perusahaan)"
343470919,Mall Taman Palem,mall,,+62 21 54352000; +62 21 54352001,"kategori mall (properti, bukan perusahaan)"
121919489,Mall of Indonesia,mall,,+62 21 54867888; +62 21 45867889,"kategori mall (properti, bukan perusahaan)"
881967800,Mall@Bassura,mall,,,"kategori mall (properti, bukan perusahaan)"
391511052,Mangga Dua Square,mall,,+6281388713737,"kategori mall (properti, bukan perusahaan)"
4152540737,Maple Park,mall,,,"kategori mall (properti, bukan perusahaan)"
669873140,Masaji Tatanan Container,industrial,Surabaya,,duplikat entitas (nama/telepon sama)
6190337088,Maspion Service Center,company,,+62216242112,nama cocok pola noise (gedung/pemerintah/service center)
511934520,Mega Glodok Kemayoran,mall,,,"kategori mall (properti, bukan perusahaan)"
534501112,Mega Mall Ciputat,mall,,,"kategori mall (properti, bukan perusahaan)"
121129316,Mega Plaza,company,,,nama cocok pola noise (gedung/pemerintah/service center)
516775412,Melawai Plaza,mall,,,"kategori mall (properti, bukan perusahaan)"
13607904301,Menara BRILiaN,company,,,nama cocok pola noise (gedung/pemerintah/service center)
120840856,Menara Jamsostek (North Tower),company,,,nama cocok pola noise (gedung/pemerintah/service center)
4146263388,Menara Palma,company,,,nama cocok pola noise (gedung/pemerintah/service center)
120390216,Menara Saidah,company,,,nama cocok pola noise (gedung/pemerintah/service center)
121129315,Menjangan Sakti,company,,,duplikat entitas (nama/telepon sama)
293807197,Menteng Central,mall,,,"kategori mall (properti, bukan perusahaan)"
481734017,Menteng Huis,mall,,,"kategori mall (properti, bukan perusahaan)"
669873120,Meratus,industrial,Surabaya,,duplikat entitas (nama/telepon sama)
121827997,Metro Sunter Plaza,mall,,,"kategori mall (properti, bukan perusahaan)"
6953819186,Mitsubishi,company,,,duplikat entitas (nama/telepon sama)
6218997088,"Mitsubishi Sales, Service, Parts",company,,+6285899997762,nama cocok pola noise (gedung/pemerintah/service center)
6230792493,NS Battery Care Center,company,,,nama cocok pola noise (gedung/pemerintah/service center)
6318643786,Nesco Service Center,company,,,nama cocok pola noise (gedung/pemerintah/service center)
1444836020,New Priok Container Terminal 1,industrial,Jakarta,,duplikat entitas (nama/telepon sama)
705296575,Nippon Paint,industrial,Surabaya,,duplikat entitas (nama/telepon sama)
6948432494,Nokia,company,,,duplikat entitas (nama/telepon sama)
447136631,One Belpark Mall,mall,,,"kategori mall (properti, bukan perusahaan)"
1153739789,One District,mall,,,"kategori mall (properti, bukan perusahaan)"
483395918,One Satrio,mall,,+62215220568,"kategori mall (properti, bukan perusahaan)"
476214104,PASAR BITINGAN,company,Kudus,,nama cocok pola noise (gedung/pemerintah/service center)
499661124,PDAM Kebalen,company,Bekasi,,duplikat entitas (nama/telepon sama)
499661138,PDAM Kebalen,company,Bekasi,,duplikat entitas (nama/telepon sama)
518494087,PDAM Kebalen,company,Bekasi,,duplikat entitas (nama/telepon sama)
636819072,PDAM Tirtanadi,company,Medan,,duplikat entitas (nama/telepon sama)
821269419,PDAM Tirtanadi,industrial,Medan,,duplikat entitas (nama/telepon sama)
523247692,PDAM Tirtanadi Cabang Tuasan,company,Medan,,pola kantor cabang/gerai (bukan pengambil keputusan)
343507744,PELNI,company,Semarang,,duplikat entitas (nama/telepon sama)
421834551,PELNI,company,Surabaya,,duplikat entitas (nama/telepon sama)
524571822,PIK Avenue,mall,,,"kategori mall (properti, bukan perusahaan)"
564964971,PLN,company,,,duplikat entitas (nama/telepon sama)
6222915885,PLN Distribusi Jakarta Raya,company,,,duplikat entitas (nama/telepon sama)
1111244300,PLN UIKL Sulawesi (Unit Induk Pembangkitan & Penyaluran Sulawesi),industrial,Makassar,,duplikat entitas (nama/telepon sama)
1111244301,PLN UIKL Sulawesi (Unit Induk Pembangkitan & Penyaluran Sulawesi),industrial,Makassar,,duplikat entitas (nama/telepon sama)
524347910,PLTD Senayan,industrial,Jakarta,,nama cocok pola noise (gedung/pemerintah/service center)
847485082,PLTD Tallo Lama,industrial,Makassar,,nama cocok pola noise (gedung/pemerintah/service center)
549604296,PLTGU Bekasi Power,industrial,Cikarang,,nama cocok pola noise (gedung/pemerintah/service center)
705296597,PLTGU Gresik,industrial,Gresik,,nama cocok pola noise (gedung/pemerintah/service center)
694792625,PLTGU Jababeka,industrial,Cikarang,,nama cocok pola noise (gedung/pemerintah/service center)
929881495,PLTGU Jawa-2 Power Project,industrial,Jakarta,,nama cocok pola noise (gedung/pemerintah/service center)
29367652,PLTGU Muara Karang,industrial,Jakarta,,nama cocok pola noise (gedung/pemerintah/service center)
662173157,PLTGU Priok,industrial,Jakarta,,nama cocok pola noise (gedung/pemerintah/service center)
570139147,PLTGU Tambak Lorok,industrial,Semarang,,nama cocok pola noise (gedung/pemerintah/service center)
894351150,PLTGU Tambak Lorok,industrial,Semarang,,duplikat entitas (nama/telepon sama)
960747876,PLTU DSS,industrial,Karawang,,nama cocok pola noise (gedung/pemerintah/service center)
530303610,PLTU Jawa 7,industrial,Serang,,nama cocok pola noise (gedung/pemerintah/service center)
109924603,PLTU Tello,industrial,Makassar,,nama cocok pola noise (gedung/pemerintah/service center)
1098612561,PLTU Tjiwi Kimia,industrial,Mojokerto,,nama cocok pola noise (gedung/pemerintah/service center)
718995682,PPD,company,,,duplikat entitas (nama/telepon sama)
