nama,halaman,skor_pola,komponen_berbukti,dist_model,field_sales,scale,industry_fit,kutipan_dist,kutipan_field
"PT. Kimia Farma, Tbk.",9,70,3,35,0,20,15,...kovigilans HUBUNGI KAMI Previous Next 0 + FASILITAS PRODUKSI 0 + JARINGAN DISTRIBUSI 0 + OUTLET FARMASI 0 + LABORATORIUM 0 + KLINIK KESEHATAN 0 + JUTA PELANGGAN Satu Ekosistem untuk Kesehatan Indonesia Sebagai tula...,
PT Pupuk Indonesia,6,65,3,35,0,20,10,"...k subsidi, kapasitas gudang, distributor, hingga kondisi stok di jaringan distribusi. Pupuk Indonesia juga menggunakan indikator sebagai early warning system untuk mendeteksi potensi kekurangan pasokan lebih awal....",
Blue Bird Group,8,65,3,35,0,20,10,...within 58.000 square meters paved with interlocking blocks. The Depot container services provide : 6.000 teus containers storage. Container Handling. Maintenance Repair container. Cleaning Container...,
Nutrifood Indonesia,7,60,3,25,0,20,15,...adiah tanpa melakukan pemberitahuan resmi terlebih dahulu kepada distributor dan konsumen. Demikian pemberitahuan ini dibuat oleh […] Serunya Aksi Tanam Terumbu Karang di Hari Konservasi Alam Internasiona...,
Ajinomoto Indonesia,8,55,3,35,0,10,10,...jinomoto Indonesia Ajinomoto Global Group Pencapaian Produk Kami Produk Retail Bisnis Horeka Produk Industri Komitmen Halal Kegiatan Kami Karir Kunjungi Kami Beasiswa Stories Health Provider Siaran Pers Konta...,
Abang Express - Pengiriman Internasional,2,55,3,25,0,20,10,"...s ekspor (perusahaan, UKM serta Komunitas Ekspor ), produsen dan distributor produk hingga pihak pendukung ekspor seperti Lembaga keuangan bank dan non bank di Indonesia. SDM Profesional Kompetensi dan prof...",
JasaWebMedan,5,55,3,25,0,20,10,...online. Cocok untuk : Toko Retail • Produk UMKM • Brand Lokal • Distributor ✔ Katalog produk lengkap ✔ Keranjang belanja dan checkout ✔ Integrasi pembayaran online Mulai dari Rp. 5.500.000 Konsultasi Grati...,
Balon Tepuk Suporter,5,55,2,25,30,0,0,...nggulan Balon Tepuk Depok Kami merupakan salah satu produsen dan distributor balon terpercaya yang menyediakan berbagai jenis balon sesuai kebutuhan Anda. Salah satu produk unggulan kami adalah balon suport...,...imasi waktu akan kami informasikan sejak awal secara transparan. Sales Promotion Contact Person Sales Representative 087878889787 (Telp / WhatsApp) Finance 081805885788 (Telp / WhatsApp) Area Pemasaran Balon Te...
PT. Chang Jui Fang Indonesia,5,55,2,35,0,20,0,...ement system dan bersertifikat internasional. Perusahaan Tentang Jaringan Distribusi Referensi Proyek Dukungan Katalog Tips & Trik Inspirasi Kontak Hubungi Kami (021) 6685700 Facebook Instagram Tiktok Copyright © 2...,
Smart GPS Bandung,3,50,3,25,0,15,10,"...ISTRIBUSI PRODUK Perusahaan penjualan ritel, Perusahaan distributor, Perusahaan produksi, dll. ANGKUTAN UMUM Perusahaan bus antar kota, Perusahaan bus pariwisata, Perusahaan travel, Perusa...",
Toko Balon,3,50,3,0,20,20,10,,"..., Sawangan, Sukmajaya, hingga Cimanggis. Pengiriman bisa melalui kurir kami sendiri atau ekspedisi sesuai kebutuhan acara Anda. Apakah bisa request warna balon dan warna tinta sablon tertentu? Tentu s..."
Indofood Sukses Makmur,8,50,2,35,0,0,15,"...ed operations. Read More... Distribution With the most extensive distribution network in Indonesia, the Group distributes the majority of the consumer products manufactured by Indofood and its subsidiaries, as well...",
PT Multi Areal Planing Indonesia (MAPID),8,50,2,35,0,0,15,"...stry-specific challenges. Retail & FMCG Plan expansion, optimize distribution networks, and improve territory performance using data-driven geographic modeling. Telecommunications Optimize network coverage, plan inf...",
Kapal Api Global / Santos Jaya Abadi,1,50,2,35,0,0,15,...Indonesia. LEARN MORE PT. FASTRATA BUANA PT. Fastrata Buana is a consumer good distributor of Kapal Api Group. It is also the marketer of quality products of top brands such as Kapal Api and Good Day. LEARN MORE PT. AGEL...,
Jamkrindo,6,45,3,35,0,10,0,...Konsumtif Layanan Pemeringkatan UMKM Koneksi Host B2B Informasi Keagenan Media Majalah Berita Foto Video Pengumuman Pengadaan E-PROC Anti Gratifikasi Hubungi Kami Unit Kerja Tata Cara Pengaduan FAQ Kale...,
Jasa Cargo Ekspedisi Surabaya NCT,3,45,3,15,0,20,10,"...an ekonomis untuk pengiriman barang ke seluruh Indonesia. Dengan armada kendaraan yang lengkap dan modern, serta tim profesional yang berpengalaman, Book Now Jasa Cargo Laut Layanan Jasa Cargo Laut dar...",
AirNav Indonesia,4,45,3,15,0,20,10,...tion Service Provider in Indonesia Traffic 01 Mei 2025 10:00 PM 150 Cabang/Unit Disclaimer 0 0 0 0 Departure Domestic Arrival Domestic Departure International Arrival International About Us Menjadi Penyed...,
Asuransi Bintang,10,45,2,35,0,0,10,"...ng, TBK sudah berdiri sejak 17 Maret 1955 . Kami memiliki sistem keagenan yang tertata rapi. Di PT Asuransi Bintang, TBK para profesional agen dapat meraih penghasilan yang luar biasa dan juga memilik ke...",
PT Dirgantara Indonesia (Kantor Pusat),6,45,2,35,0,0,10,"...ich are under the supervision of the Air Engineering Maintenance Depot Command, led by Air Major Nurtanio Pringgoadisurjo. Based on Nurtanio's design, on August 1, 1954, the division succeeded in flyi...",
PT Magna Perkasa,6,45,2,35,0,0,10,...Our latest project Aqua Sari Husada Pertamina Elpiji Gaya Motor Depo Lokomotif TSD UPT Pekan Baru Halim Pertamina Elang Perdana Angkasa Pura 2 Selengkapnya... CSR We Do Social Responsibility PT. Mag...,
PT Multi Guna Maritim,4,45,2,35,0,0,10,...mber 2014 dengan domisili di Banjarmasin. Bergerak dibidang Jasa Keagenan Kapal /Agen Perkapala MILESTONES 2015 Perjanjian kerjasama Project Suralaya MILESTONES 2016 Pembuatan kapal ferry ro ro Garda Mar...,
Solar Surya Indotama,5,45,2,25,0,20,0,...gai jenis instalasi panel surya di seluruh Indonesia. AUTHORIZED DISTRIBUTOR OUR SOLUTIONS PLTS BTS System Lampu PJUTS – Semi Lithium Lampu PJUTS – Integrated Pompa Air Tenaga Surya Lampu PJU LED PLTS SHS L...,
WebHozz Bandung,1,40,3,15,0,20,5,"...i Client Perusahaan Nasional & Multinasional Tahun Berdiri sejak 2011 Cabang di Jakarta Bandung Kelebihan Kursus di WebHozz Kelebihan Kursus di WebHozz 1 Murid 1 Trainer Dengan kelas Privat, kamu lebih lelu...",
Elkadaya,5,40,2,25,0,0,15,"...ping Power Industry in Indonesia since 2009 We are an Authorized Distributor Company of reputable Manufacturer which have specialized in Predictive Maintenance (PdM), HV/EHV SAFETY Tools, and Power Test Equ...",
Grahaesa,1,40,2,25,0,0,15,"...act VISION MISSION STATEMENT Vision To become a leading chemical distributor in Indonesia, providing innovative, sustainable, and high-quality solutions for our partners. Mission To deliver premium chemical...",
R2plan,3,40,2,35,0,0,5,...i untuk semua tipe opensource yang ada. e-Commerce / Toko Online Melayani pembuatan e-Commerce / jasa bikin toko online dengan desain premium termasuk penanganan integrasi dengan payment gateway. Ditawarkan dengan paket stand alone dan full s...,
Mayora Indah,3,35,2,25,0,0,10,"...al Operations Brand Story Our Brands Business Relations Supplier Distributor CSR Community Environmental Sustainability News Kopiko, Far Beyond just a Coffee Candy Kopiko is out of the world, it became the...",
AIA Insurance,10,35,2,35,0,0,0,"...nda mempersiapkan perlindungan asuransi melalui jalur distribusi Keagenan, Bancassurance, Corporate Solution, Direct Marketing and Telemarketing, serta Digital. Dengan jalur distribusi yang komprehensif,...",
Danone Indonesia,4,35,2,0,0,20,15,,
Accurate,1,35,2,25,0,0,10,...Percetakan Suppy Chain Proses Distribusi Jadi Oprimal Manufaktur Distributor Retail Kelola Bisnis Retail Jadi Lebih Baik Apotek Furniture Minimarket Toko Baju/Butik Toko Elektronik Toko Online F&B Optimalka...,
Nippon Paint,3,35,1,35,0,0,0,...14430 (021) 6900546 enquiry@nipponpaint-indonesia.com Pilih Area Depot Pilih Area ... Aceh Ambon Bali Balikpapan Bandar Jaya Bandung Bangka Banjarmasin Banyuwangi Batam Baturaja Bau-Bau Bengkulu Blita...,
Semidang Group,2,35,1,35,0,0,0,...rusahaan SEMIDANG adalah perusahaan yang bergerak di bidang jasa keagenan asuransi umum dan penjaminan yang didirikan dengan komitmen untuk memberikan solusi terbaik bagi klien...,
PT. BERCA MANDIRI PERKASA,5,35,1,35,0,0,0,...technical engineers networking 0 Good coverage with 50 branches/depo/rep. office/outlet/dealers within Indonesia attachment models 0 + Supported by PT.Cipta Andalan Teknindo (affiliate company)to me...,
Frisian Flag Indonesia,7,30,2,0,0,15,15,,
Boston Consulting Group,10,30,2,15,0,0,15,"...ciency, cost, and reliability goals with the digitization of its fleet maintenance operations. Learn More Client Impact How Penske Is Driving a New Data-Centric Mobility Solution When the mobility exp...",
Dattabot,3,30,2,15,0,0,15,"...g Explore solutions 05 Logistics & Transport Route optimization, fleet AI & end-to-end traceability Explore solutions 06 Government & Public National data intelligence, service automation & identity t...",
Gudang Billboard,7,30,2,0,0,20,10,,
HYDAC Indonesia,9,30,2,15,0,0,15,...s for oil and components. Standardisation For your whole machine fleet: mobile machines are as versatile as their possible applications. The demands on the associated components and subsystems are eve...,
PT Musim Mas,8,30,2,15,0,0,15,"...erivatives before exporting these to customers via our extensive fleet of tankers and barges. Today, Musim Mas is one of the largest exporters in Indonesia. Inter-Continental Oils and Fats (ICOF) , a...",
PT. Control Systems Arena Para Nusa,5,30,2,15,0,0,15,"...Marine 2021 HCML Lease MOPU For MAC Field Development Project PT Armada Bumi Pratiwi Lines 2021 Provision 1 Unit Of Metering Coriolis PT PHE ONWJ ConocoPhillips (Grissik) Ltd. 2021 Engineering, Procure...",
Rakyatku.com,5,30,2,15,0,15,0,"...iasi Pengelolaan Sampah di Kecamatan Ujung Pandang 2 Serentak di 71 Cabang, Pegadaian Ketuk Pintu Langit Salurkan Bantuan untuk Masyarakat Terbaru Serentak di 71 Cabang, Pegadaian Ketuk Pintu Langit Salur...",
PT. Dharma Satya Nusantara,11,30,2,15,0,0,15,"...y friendly Bio-CNG, without the need to replace the entire truck fleet. Kompas 100 The DSNG has been inducted into the Kompas 100 index for stocks with high liquidity, large market capitalization, and...",
So Good Food,4,25,2,0,0,20,5,,
Asuransi Raksa,5,25,2,0,0,20,5,,
Exito Bali,7,25,2,0,0,20,5,,
Kantor STO Telkom Sawangan,10,25,2,0,0,15,10,,
PT United Dico Citas,6,25,2,15,0,0,10,...BUTION COVERAGE INTEGRATED SUPPLY CHAIN PRINCIPAL CONTACT US UDC Fleet Every day an armada of UDC truck and motorcycle drivers travels hundreds of kilometers to deliver our principals’ products in pri...,
TomTom,7,25,2,15,0,0,10,"...more SOLUTIONS Your industry. Our platform. From high-frequency fleet operations to autonomous mobility and public sector infrastructure — TomTom's location platform delivers the precision, coverage,...",
PT Adhi Commuter Properti,6,25,1,25,0,0,0,"...za incertezze. Il catalogo include slot, giochi da tavolo e live dealer con studi ottimizzati. Se desideri una panoramica sintetica su novità, promozioni e titoli disponibili presso Librabet casino , t...",
PT Araki Solusi Indonesia,1,25,1,25,0,0,0,...out us Request a Quote Forklift and Material Handling Solutions DISTRIBUTOR FORKLIFT & MATERIAL HANDLING Read more Contact Us Exceeding Expectations with Quality Service CONSTRUCTION COMPANY SERVICES Read...,
PT. Kita Bagus Sejahtera,1,25,1,25,0,0,0,...Produk Mitra Klien Artikel Kontak id en PT. Kita Bagus Sejahtera Distributor perlengkapan dan peralatan kebutuhan dunia industri di Indonesia. Hubungi Slide 2 I am a button Slide 3 I am a button Tentang PT....,
Kantor CV. Arindra Production,4,20,1,0,0,20,0,,
Kantor Maxim Indonesia,4,20,1,0,20,0,0,,...Order online Aplikasi untuk order Delivery Untuk pengemudi Untuk Kurir Lowongan Menjadi mitra Blog Kontak Untuk pelanggan Untuk pengemudi Indonesia Argentina Azerbaijan Brasil Filipina Indonesia Kambo...
PT Waskita Karya,6,20,1,0,0,20,0,,
PT. Bakti Mandiri Perkasa,2,20,1,0,20,0,0,,"...ran, Sekretaris, Call Center/Operator & Recepsionis Selengkapnya Driver Kami bekerja sama dengan Vendor Driver professional untuk mencetak Tenaga Kerja Driver dengan standar kinerja dan mutu layanan terbaik..."
PT Toyo Sensing Indonesia,1,20,1,0,0,20,0,,
Glico Indonesia,8,15,1,0,0,0,15,,
BT Cocoa,9,15,1,0,0,0,15,,
Jasa Pengaspalan - Aspalin Construction,5,15,1,15,0,0,0,"...nfrastruktur jalan. Dengan support tenaga ahli berpengalaman dan armada alat berat modern, kami menjamin hasil kerja yang presisi, tahan lama, dan sesuai standar teknis yang berlaku. 1 Jasa Pengaspalan...",
AIM Food,5,15,1,0,0,0,15,,
Sinar Mas,5,10,1,0,0,0,10,,
Chroma Wedding,2,10,1,0,0,0,10,,
GoJek HQ,3,10,1,0,0,0,10,,
LogID,2,10,1,0,0,0,10,,
PT. Kawasan Industri Medan (Persero),2,10,1,0,0,0,10,,
PT. PLN Nusantara Power,8,10,1,0,0,0,10,,
Pacific Express,3,10,1,0,0,0,10,,
Sahabat Laut Lestari,2,10,1,0,0,0,10,,
UrShipper,4,10,1,0,0,0,10,,
PT. Pratama Motivasi Mandiri,1,10,1,0,0,0,10,,
PT Pacificagung Trijaya,4,10,1,0,0,0,10,,
D~Net Internet Service Provider,4,5,1,0,0,0,5,,
Optibis,7,5,1,0,0,0,5,,
PT JASA KONSULTAN KEUANGAN,6,5,1,0,0,0,5,,
PT Trimanunggal Perkasindo,4,5,1,0,0,0,5,,
PT Power Telecom,1,5,1,0,0,0,5,,
AturKuliner,1,5,1,0,0,0,5,,
Opticore Technology,1,5,1,0,0,0,5,,
PT. Applimetis Parama Solusi,1,5,1,0,0,0,5,,
PT. Cahaya Bumi Amanah,1,5,1,0,0,0,5,,
Webindoshop,1,5,1,0,0,0,5,,
Avrist,3,0,1,0,0,0,0,,
PT Global Teknik Pasundan,4,0,1,0,0,0,0,,
Badan Riset dan Inovasi Nasional (BRIN),1,0,1,0,0,0,0,,
PT. Insatek Maju Bersama - Rep. Jakarta,1,0,1,0,0,0,0,,
Coca-Cola Indonesia,6,0,0,0,0,0,0,,
Bali Wedding Story - Why Imaging,3,0,0,0,0,0,0,,
PT Cinerent Indonesia,6,0,0,0,0,0,0,,
PT. Tanjung Kreasi Parquet Industri,2,0,0,0,0,0,0,,
SolarTuff - Solar Water Heater,3,0,0,0,0,0,0,,
MS Glow,3,0,0,0,0,0,0,,
Kredivo Operations Office,1,0,0,0,0,0,0,,
PT Nindya Karya,1,0,0,0,0,0,0,,
"Mitra Manunggal Mandiri, PT.",1,0,0,0,0,0,0,,
OmiqloBadut,1,0,0,0,0,0,0,,
PT Perumnas Iida Group,1,0,0,0,0,0,0,,
Studio Ubud,1,0,0,0,0,0,0,,
Upperclicks,1,0,0,0,0,0,0,,
